Dataset,DM method,Dim,n_sample,n_cluster,Intrinsic Dim (reconstructed),Intrinsic Dim (data)
blobs_dim3_n2000_y5,DBM_orig_torch,3,2000,5,2.0,3.0
blobs_dim3_n2000_y5,DeepView,3,2000,5,2.8,3.0
blobs_dim3_n2000_y5,SSNP,3,2000,5,2.0,3.0
blobs_dim3_n2000_y5,SSNP_3,3,2000,5,2.2,3.0
blobs_dim3_n2000_y5,SSNP_10,3,2000,5,2.4,3.0
blobs_dim3_n2000_y5,SSNP_30,3,2000,5,2.4,3.0
blobs_dim3_n2000_y5,DBM_3,3,2000,5,2.6,3.0
blobs_dim3_n2000_y5,DBM_10,3,2000,5,3.0,3.0
blobs_dim3_n2000_y5,DBM_30,3,2000,5,3.0,3.0
blobs_dim10_n2000_y5,DBM_orig_torch,10,2000,5,2.2,9.0
blobs_dim10_n2000_y5,DeepView,10,2000,5,7.0,9.0
blobs_dim10_n2000_y5,SSNP,10,2000,5,2.2,9.0
blobs_dim10_n2000_y5,SSNP_3,10,2000,5,2.6,9.0
blobs_dim10_n2000_y5,SSNP_10,10,2000,5,3.2,9.0
blobs_dim10_n2000_y5,SSNP_30,10,2000,5,2.6,9.0
blobs_dim10_n2000_y5,DBM_3,10,2000,5,4.6,9.0
blobs_dim10_n2000_y5,DBM_10,10,2000,5,8.4,9.0
blobs_dim10_n2000_y5,DBM_30,10,2000,5,7.2,9.0
blobs_dim30_n2000_y5,DBM_orig_torch,30,2000,5,2.0,27.0
blobs_dim30_n2000_y5,DeepView,30,2000,5,12.8,27.0
blobs_dim30_n2000_y5,SSNP,30,2000,5,2.0,27.0
blobs_dim30_n2000_y5,SSNP_3,30,2000,5,2.2,27.0
blobs_dim30_n2000_y5,SSNP_10,30,2000,5,2.6,27.0
blobs_dim30_n2000_y5,SSNP_30,30,2000,5,3.0,27.0
blobs_dim30_n2000_y5,DBM_3,30,2000,5,4.2,27.0
blobs_dim30_n2000_y5,DBM_10,30,2000,5,20.4,27.0
blobs_dim30_n2000_y5,DBM_30,30,2000,5,21.4,27.0
blobs_dim100_n2000_y5,DBM_orig_torch,100,2000,5,2.0,84.0
blobs_dim100_n2000_y5,DeepView,100,2000,5,15.8,84.0
blobs_dim100_n2000_y5,SSNP,100,2000,5,2.0,84.0
blobs_dim100_n2000_y5,SSNP_3,100,2000,5,2.8,84.0
blobs_dim100_n2000_y5,SSNP_10,100,2000,5,3.0,84.0
blobs_dim100_n2000_y5,SSNP_30,100,2000,5,3.2,84.0
blobs_dim100_n2000_y5,DBM_3,100,2000,5,2.0,84.0
blobs_dim100_n2000_y5,DBM_10,100,2000,5,1.8,84.0
blobs_dim100_n2000_y5,DBM_30,100,2000,5,2.2,84.0
blobs_dim300_n2000_y5,DBM_orig_torch,300,2000,5,2.2,200.6
blobs_dim300_n2000_y5,DeepView,300,2000,5,20.6,200.6
blobs_dim300_n2000_y5,SSNP,300,2000,5,2.0,200.6
blobs_dim300_n2000_y5,SSNP_3,300,2000,5,2.4,200.6
blobs_dim300_n2000_y5,SSNP_10,300,2000,5,2.4,200.6
blobs_dim300_n2000_y5,SSNP_30,300,2000,5,3.2,200.6
blobs_dim300_n2000_y5,DBM_3,300,2000,5,1.6,200.6
