Dataset,DM method,Dim,n_sample,n_cluster,Intrinsic Dim (reconstructed),Intrinsic Dim (data),bottleneck_dim
blobs_dim10_n5000_y5,DBM_10,10,5000,5,7.8,9.2,
blobs_dim30_n5000_y5,DBM_10,30,5000,5,23,28,
blobs_dim100_n5000_y5,DBM_10,100,5000,5,55.4,89,
blobs_dim300_n5000_y5,DBM_10,300,5000,5,63.6,245.6,
blobs_dim10_n5000_y2,DBM_10,10,5000,2,8,9,
blobs_dim30_n5000_y2,DBM_10,30,5000,2,18.5,25.5,
blobs_dim100_n5000_y2,DBM_10,100,5000,2,62.5,83,
blobs_dim300_n5000_y2,DBM_10,300,5000,2,129.5,239,
blobs_dim10_n5000_y3,DBM_10,10,5000,3,9,10,
blobs_dim30_n5000_y3,DBM_10,30,5000,3,22,26,
blobs_dim100_n5000_y3,DBM_10,100,5000,3,60,87,
blobs_dim300_n5000_y3,DBM_10,300,5000,3,1.33333333333333,246,
blobs_dim10_n5000_y10,DBM_10,10,5000,10,8.7,10,10
blobs_dim30_n5000_y10,DBM_10,30,5000,10,17.8,28,10
blobs_dim100_n5000_y10,DBM_10,100,5000,10,10.3,87.4,10
blobs_dim10_n5000_y5,DBM_10_PCA,10,5000,5,9,9.2,
blobs_dim30_n5000_y5,DBM_10_PCA,30,5000,5,24,28,
blobs_dim100_n5000_y5,DBM_10_PCA,100,5000,5,63.2,89,
blobs_dim300_n5000_y5,DBM_10_PCA,300,5000,5,2.4,245.6,
blobs_dim10_n5000_y2,DBM_10_PCA,10,5000,2,8,9,
blobs_dim30_n5000_y2,DBM_10_PCA,30,5000,2,18.5,25.5,
blobs_dim100_n5000_y2,DBM_10_PCA,100,5000,2,67,83,
blobs_dim300_n5000_y2,DBM_10_PCA,300,5000,2,133.5,239,
blobs_dim10_n5000_y3,DBM_10_PCA,10,5000,3,8,10,
blobs_dim30_n5000_y3,DBM_10_PCA,30,5000,3,20.3333333333333,26,
blobs_dim100_n5000_y3,DBM_10_PCA,100,5000,3,68.3333333333333,87,
blobs_dim300_n5000_y3,DBM_10_PCA,300,5000,3,1.33333333333333,246,
blobs_dim10_n5000_y10,DBM_10_PCA,10,5000,10,7.6,10,
blobs_dim30_n5000_y10,DBM_10_PCA,30,5000,10,14.5,28,
blobs_dim100_n5000_y10,DBM_10_PCA,100,5000,10,14,87.4,
blobs_dim3_n5000_y10,DBM_02,3,5000,10,2.3,3,02
blobs_dim10_n5000_y10,DBM_02,10,5000,10,2.2,10,02
blobs_dim30_n5000_y10,DBM_02,30,5000,10,2.1,28,02
blobs_dim100_n5000_y10,DBM_02,100,5000,10,2,87.4,02
blobs_dim3_n5000_y5,DBM_3,3,5000,5,3,3,
blobs_dim10_n5000_y5,DBM_3,10,5000,5,4,9.2,
blobs_dim30_n5000_y5,DBM_3,30,5000,5,6.2,28,
blobs_dim100_n5000_y5,DBM_3,100,5000,5,5.4,89,
blobs_dim300_n5000_y5,DBM_3,300,5000,5,2,245.6,
blobs_dim3_n5000_y2,DBM_3,3,5000,2,3,3,
blobs_dim10_n5000_y2,DBM_3,10,5000,2,5.5,9,
blobs_dim30_n5000_y2,DBM_3,30,5000,2,10.5,25.5,
blobs_dim100_n5000_y2,DBM_3,100,5000,2,17.5,83,
blobs_dim300_n5000_y2,DBM_3,300,5000,2,12.5,239,
blobs_dim3_n5000_y3,DBM_3,3,5000,3,3,3,
blobs_dim10_n5000_y3,DBM_3,10,5000,3,6.33333333333333,10,
blobs_dim30_n5000_y3,DBM_3,30,5000,3,6.33333333333333,26,
blobs_dim100_n5000_y3,DBM_3,100,5000,3,6.33333333333333,87,
blobs_dim300_n5000_y3,DBM_3,300,5000,3,6.66666666666667,246,
blobs_dim3_n5000_y10,DBM_03,3,5000,10,3,3,03
blobs_dim10_n5000_y10,DBM_03,10,5000,10,5,10,03
blobs_dim30_n5000_y10,DBM_03,30,5000,10,3,28,03
blobs_dim100_n5000_y10,DBM_03,100,5000,10,2.5,87.4,03
blobs_dim3_n5000_y5,DBM_3_PCA,3,5000,5,3,3,
blobs_dim10_n5000_y5,DBM_3_PCA,10,5000,5,4.2,9.2,
blobs_dim30_n5000_y5,DBM_3_PCA,30,5000,5,4.6,28,
blobs_dim100_n5000_y5,DBM_3_PCA,100,5000,5,5.2,89,
blobs_dim300_n5000_y5,DBM_3_PCA,300,5000,5,2.6,245.6,
blobs_dim3_n5000_y2,DBM_3_PCA,3,5000,2,3,3,
blobs_dim10_n5000_y2,DBM_3_PCA,10,5000,2,4.5,9,
blobs_dim30_n5000_y2,DBM_3_PCA,30,5000,2,10,25.5,
blobs_dim100_n5000_y2,DBM_3_PCA,100,5000,2,17,83,
blobs_dim300_n5000_y2,DBM_3_PCA,300,5000,2,9.5,239,
blobs_dim3_n5000_y3,DBM_3_PCA,3,5000,3,3,3,
blobs_dim10_n5000_y3,DBM_3_PCA,10,5000,3,5,10,
blobs_dim30_n5000_y3,DBM_3_PCA,30,5000,3,6,26,
blobs_dim100_n5000_y3,DBM_3_PCA,100,5000,3,7.33333333333333,87,
blobs_dim300_n5000_y3,DBM_3_PCA,300,5000,3,8,246,
blobs_dim3_n5000_y10,DBM_3_PCA,3,5000,10,3,3,
blobs_dim10_n5000_y10,DBM_3_PCA,10,5000,10,4.3,10,
blobs_dim30_n5000_y10,DBM_3_PCA,30,5000,10,3.1,28,
blobs_dim100_n5000_y10,DBM_3_PCA,100,5000,10,2.7,87.4,
blobs_dim30_n5000_y5,DBM_30,30,5000,5,21.8,28,
blobs_dim100_n5000_y5,DBM_30,100,5000,5,67.8,89,
blobs_dim300_n5000_y5,DBM_30,300,5000,5,2.6,245.6,
blobs_dim30_n5000_y2,DBM_30,30,5000,2,22,25.5,
blobs_dim100_n5000_y2,DBM_30,100,5000,2,64,83,
blobs_dim300_n5000_y2,DBM_30,300,5000,2,177,239,
blobs_dim30_n5000_y3,DBM_30,30,5000,3,21,26,
blobs_dim100_n5000_y3,DBM_30,100,5000,3,61.6666666666667,87,
blobs_dim300_n5000_y3,DBM_30,300,5000,3,109,246,
blobs_dim30_n5000_y10,DBM_30,30,5000,10,23.7,28,30
blobs_dim100_n5000_y10,DBM_30,100,5000,10,21.9,87.4,30
blobs_dim30_n5000_y5,DBM_30_PCA,30,5000,5,27,28,
blobs_dim100_n5000_y5,DBM_30_PCA,100,5000,5,72,89,
blobs_dim300_n5000_y5,DBM_30_PCA,300,5000,5,36.2,245.6,
blobs_dim30_n5000_y2,DBM_30_PCA,30,5000,2,21.5,25.5,
blobs_dim100_n5000_y2,DBM_30_PCA,100,5000,2,65.5,83,
blobs_dim300_n5000_y2,DBM_30_PCA,300,5000,2,165.5,239,
blobs_dim30_n5000_y3,DBM_30_PCA,30,5000,3,15.3333333333333,26,
blobs_dim100_n5000_y3,DBM_30_PCA,100,5000,3,66.3333333333333,87,
blobs_dim300_n5000_y3,DBM_30_PCA,300,5000,3,161.333333333333,246,
blobs_dim30_n5000_y10,DBM_30_PCA,30,5000,10,20.3,28,
blobs_dim100_n5000_y10,DBM_30_PCA,100,5000,10,42.7,87.4,
blobs_dim3_n5000_y5,DBM_orig_torch,3,5000,5,2.4,3,
blobs_dim10_n5000_y5,DBM_orig_torch,10,5000,5,2,9.2,
blobs_dim30_n5000_y5,DBM_orig_torch,30,5000,5,4,28,
blobs_dim100_n5000_y5,DBM_orig_torch,100,5000,5,2.2,89,
blobs_dim300_n5000_y5,DBM_orig_torch,300,5000,5,2,245.6,
blobs_dim3_n5000_y2,DBM_orig_torch,3,5000,2,2,3,
blobs_dim10_n5000_y2,DBM_orig_torch,10,5000,2,3,9,
blobs_dim30_n5000_y2,DBM_orig_torch,30,5000,2,5.5,25.5,
blobs_dim100_n5000_y2,DBM_orig_torch,100,5000,2,9.5,83,
blobs_dim300_n5000_y2,DBM_orig_torch,300,5000,2,5.5,239,
blobs_dim3_n5000_y3,DBM_orig_torch,3,5000,3,2.66666666666667,3,
blobs_dim10_n5000_y3,DBM_orig_torch,10,5000,3,3,10,
blobs_dim30_n5000_y3,DBM_orig_torch,30,5000,3,3,26,
blobs_dim100_n5000_y3,DBM_orig_torch,100,5000,3,4.66666666666667,87,
blobs_dim300_n5000_y3,DBM_orig_torch,300,5000,3,4,246,
blobs_dim3_n5000_y5,SSNP,3,5000,5,2.2,3,
blobs_dim10_n5000_y5,SSNP,10,5000,5,2,9.2,
blobs_dim30_n5000_y5,SSNP,30,5000,5,2,28,
blobs_dim100_n5000_y5,SSNP,100,5000,5,2,89,
blobs_dim300_n5000_y5,SSNP,300,5000,5,2,245.6,
