Dataset,DM method,Dim,n_sample,n_cluster,Intrinsic Dim (reconstructed),Intrinsic Dim (data),Esimated ID (reco),Esimated ID (data),bottleneck_dim
blobs_dim30_n5000_y10,DBM_2,30,5000,10,,,2.0048,25.8672,2.0
blobs_dim30_n5000_y10,DBM_5,30,5000,10,,,4.5966,25.8672,5.0
blobs_dim30_n5000_y10,DBM_10,30,5000,10,,,10.52,25.8672,10.0
blobs_dim30_n5000_y10,DBM_15,30,5000,10,,,18.7206,25.8672,15.0
blobs_dim30_n5000_y10,DBM_20,30,5000,10,,,19.9232,25.8672,20.0
blobs_dim60_n5000_y10,DBM_2,60,5000,10,,,2.0,44.6232,2.0
blobs_dim60_n5000_y10,DBM_5,60,5000,10,,,4.5946,44.6232,5.0
blobs_dim60_n5000_y10,DBM_10,60,5000,10,,,9.0886,44.6232,10.0
blobs_dim60_n5000_y10,DBM_15,60,5000,10,,,24.9336,44.6232,15.0
blobs_dim60_n5000_y10,DBM_20,60,5000,10,,,17.315,44.6232,20.0
blobs_dim90_n5000_y10,DBM_2,90,5000,10,,,2.0002,57.5464,2.0
blobs_dim90_n5000_y10,DBM_5,90,5000,10,,,4.8324,57.5464,5.0
blobs_dim90_n5000_y10,DBM_10,90,5000,10,,,14.454,57.5464,10.0
blobs_dim90_n5000_y10,DBM_15,90,5000,10,,,28.4924,57.5464,15.0
blobs_dim90_n5000_y10,DBM_20,90,5000,10,,,16.6236,57.5464,20.0
har,DBM_2,561,5000,6,,,2.633,49.589,2.0
har,DBM_5,561,5000,6,,,4.7604,49.589,5.0
har,DBM_10,561,5000,6,,,5.3354,49.589,10.0
har,DBM_15,561,5000,6,,,4.5446,49.589,15.0
har,DBM_20,561,5000,6,,,5.2638,49.589,20.0
